id,gene,cell,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4,ldcheck
"GSTP1_T cell, CD4, TH17",GSTP1,"T cell, CD4, TH17",Wald_ratio,1,-0.034709312,0.009628268,NA,NA,0.000312227,NA,NA,NA,NA,NA,NA,NA,-0.053580717,-0.015837907,0.965886147,0.947829432,0.984286854,0.011119691,Prostate cancer,ieu-b-85,"GSTP1_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.669995427,0.980424747
"DOC2GP_T cell, CD4, naive",DOC2GP,"T cell, CD4, naive",Wald_ratio,1,0.032514617,0.009811428,NA,NA,0.000919868,NA,NA,NA,NA,NA,NA,NA,0.013284218,0.051745017,1.033048993,1.013372845,1.053107184,0.026432731,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.495269712,1
"DOC2GP_T cell, CD8, naive",DOC2GP,"T cell, CD8, naive",Wald_ratio,1,0.0380243,0.011473999,NA,NA,0.000919868,NA,NA,NA,NA,NA,NA,NA,0.015535261,0.060513338,1.038756474,1.015656561,1.062381768,0.026432731,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.026905418,1
"DOC2GP_T cell, CD8, naive activated",DOC2GP,"T cell, CD8, naive activated",Wald_ratio,1,0.037284188,0.011250667,NA,NA,0.000919868,NA,NA,NA,NA,NA,NA,NA,0.01523288,0.059335496,1.037987963,1.015349492,1.061131186,0.026432731,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.745022114,1
"DOC2GP_T cell, CD4, naive activated",DOC2GP,"T cell, CD4, naive activated",Wald_ratio,1,0.036585982,0.01103998,NA,NA,0.000919868,NA,NA,NA,NA,NA,NA,NA,0.01494762,0.058224344,1.037263486,1.015059894,1.059952763,0.026432731,Prostate cancer,ieu-b-85,"DOC2GP_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.522108684,1
"FAM21FP_T cell, CD4, TH17",FAM21FP,"T cell, CD4, TH17",Wald_ratio,1,0.042119306,0.010084904,NA,NA,2.96E-05,NA,NA,NA,NA,NA,NA,NA,0.022352894,0.061885718,1.04301891,1.022604591,1.06384076,0.001717754,Prostate cancer,ieu-b-85,"FAM21FP_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.914684502,0.958088592
"CRY1_T cell, CD4, naive TREG",CRY1,"T cell, CD4, naive TREG",Wald_ratio,1,-0.032240286,0.010075089,NA,NA,0.001374276,NA,NA,NA,NA,NA,NA,NA,-0.051987461,-0.012493111,0.968273892,0.949340771,0.987584604,0.036466746,Prostate cancer,ieu-b-85,"CRY1_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.402238113,0.983756504
"CTSK_Monocyte, classical",CTSK,"Monocyte, classical",Wald_ratio,1,-0.051152175,0.010178896,NA,NA,5.03E-07,NA,NA,NA,NA,NA,NA,NA,-0.071102811,-0.031201538,0.950134073,0.931366132,0.969280206,6.46E-05,Prostate cancer,ieu-b-85,"CTSK_Monocyte, classical_Prostate cancer_ieu-b-85",0.050502333,1
"ARNT_T cell, CD4, TH2",ARNT,"T cell, CD4, TH2",Wald_ratio,1,-0.052164654,0.010380372,NA,NA,5.03E-07,NA,NA,NA,NA,NA,NA,NA,-0.072510183,-0.031819125,0.949172569,0.930056275,0.968681776,6.46E-05,Prostate cancer,ieu-b-85,"ARNT_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.012193761,1
"NSUN4_T cell, CD4, naive",NSUN4,"T cell, CD4, naive",Wald_ratio,1,0.039807548,0.008936388,NA,NA,8.41E-06,NA,NA,NA,NA,NA,NA,NA,0.022292227,0.05732287,1.040610488,1.022542556,1.058997674,0.00059718,Prostate cancer,ieu-b-85,"NSUN4_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.803359097,1
RP4-631H13.6_B_CELL_NAIVE,RP4-631H13.6,B,Wald_ratio,1,0.037794996,0.00930856,NA,NA,4.90E-05,NA,NA,NA,NA,NA,NA,NA,0.019550219,0.056039773,1.03851831,1.019742576,1.057639748,0.002661375,Prostate cancer,ieu-b-85,RP4-631H13.6_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.958406749,1
"TMEM41B_T cell, CD4, naive TREG",TMEM41B,"T cell, CD4, naive TREG",Wald_ratio,1,-0.027004003,0.008562245,NA,NA,0.00161134,NA,NA,NA,NA,NA,NA,NA,-0.043786003,-0.010222003,0.973357345,0.957158764,0.989830064,0.040755375,Prostate cancer,ieu-b-85,"TMEM41B_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.016267538,0.836785858
"ARFGAP3_T cell, CD8, naive activated",ARFGAP3,"T cell, CD8, naive activated",Wald_ratio,1,0.033353814,0.009014544,NA,NA,0.000215599,NA,NA,NA,NA,NA,NA,NA,0.015685307,0.051022321,1.033916289,1.015808967,1.052346383,0.008786401,Prostate cancer,ieu-b-85,"ARFGAP3_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.301544166,0.995934141
"XBP1_T cell, CD4, TH2",XBP1,"T cell, CD4, TH2",Wald_ratio,1,0.040151566,0.010751884,NA,NA,0.000188182,NA,NA,NA,NA,NA,NA,NA,0.019077874,0.061225258,1.040968538,1.019261019,1.063138368,0.007858663,Prostate cancer,ieu-b-85,"XBP1_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.476290442,0.963891968
"HLA-DRB1_T cell, CD4, naive",HLA-DRB1,"T cell, CD4, naive",IVW,2,-0.020905011,0.006040407,-0.032743992,-0.009066031,0.00053845,NA,NA,NA,NA,NA,19.82234278,8.50E-06,-0.032744209,-0.009065813,0.979311984,0.967786079,0.990975157,0.01734106,Prostate cancer,ieu-b-85,"HLA-DRB1_T cell, CD4, naive_Prostate cancer_ieu-b-85",1.42E-09,0.948043006
ECHDC2_B_CELL_NAIVE,ECHDC2,B,Wald_ratio,1,0.037338576,0.008761007,NA,NA,2.03E-05,NA,NA,NA,NA,NA,NA,NA,0.020167003,0.05451015,1.038044419,1.020371731,1.056023195,0.001213039,Prostate cancer,ieu-b-85,ECHDC2_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.958408626,1
"ECHDC2_Monocyte, classical",ECHDC2,"Monocyte, classical",Wald_ratio,1,0.043765577,0.010269018,NA,NA,2.03E-05,NA,NA,NA,NA,NA,NA,NA,0.023638301,0.063892852,1.044737415,1.0239199,1.065978175,0.001213039,Prostate cancer,ieu-b-85,"ECHDC2_Monocyte, classical_Prostate cancer_ieu-b-85",0.004361018,1
"ECHDC2_Monocyte, non-classical",ECHDC2,"Monocyte, non-classical",Wald_ratio,1,0.038408994,0.009012166,NA,NA,2.03E-05,NA,NA,NA,NA,NA,NA,NA,0.020745149,0.05607284,1.039156155,1.020961825,1.057674722,0.001213039,Prostate cancer,ieu-b-85,"ECHDC2_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.947820309,1
"RAD51C_T cell, CD4, memory TREG",RAD51C,"T cell, CD4, memory TREG",Wald_ratio,1,-0.03370941,0.008037767,NA,NA,2.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.049463434,-0.017955387,0.966852421,0.951739959,0.98220485,0.001603273,Prostate cancer,ieu-b-85,"RAD51C_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.012137255,1
"LRRC37A16P_T cell, CD4, memory TREG",LRRC37A16P,"T cell, CD4, memory TREG",Wald_ratio,1,0.02879642,0.008786823,NA,NA,0.001048318,NA,NA,NA,NA,NA,NA,NA,0.011574247,0.046018593,1.029215045,1.011641488,1.047093879,0.029251768,Prostate cancer,ieu-b-85,"LRRC37A16P_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.073442898,1
"MFSD6_T cell, CD4, TH1 TH17",MFSD6,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.039771779,0.012042011,NA,NA,0.000957409,NA,NA,NA,NA,NA,NA,NA,0.016169438,0.06337412,1.040573266,1.01630087,1.065425362,0.027238924,Prostate cancer,ieu-b-85,"MFSD6_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.194919664,1
SEPTIN2�_B_CELL_NAIVE,SEPTIN2�,B,Wald_ratio,1,-0.050818534,0.009945393,NA,NA,3.23E-07,NA,NA,NA,NA,NA,NA,NA,-0.070311505,-0.031325563,0.950451129,0.932103419,0.969159999,4.76E-05,Prostate cancer,ieu-b-85,SEPTIN2�_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.476433799,1
"RP11-757G1.6_Monocyte, classical",RP11-757G1.6,"Monocyte, classical",Wald_ratio,1,0.035104094,0.009255742,NA,NA,0.000149028,NA,NA,NA,NA,NA,NA,NA,0.01696284,0.053245348,1.035727516,1.017107526,1.054688379,0.006472516,Prostate cancer,ieu-b-85,"RP11-757G1.6_Monocyte, classical_Prostate cancer_ieu-b-85",4.59E-39,1
WDR52_B_CELL_NAIVE,WDR52,B,Wald_ratio,1,0.064464182,0.009079462,NA,NA,1.25E-12,NA,NA,NA,NA,NA,NA,NA,0.046668436,0.082259929,1.066587375,1.047774547,1.085737987,7.59E-10,Prostate cancer,ieu-b-85,WDR52_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.638008936,1
"POLI_T cell, CD4, memory TREG",POLI,"T cell, CD4, memory TREG",Wald_ratio,1,-0.031180912,0.007490387,NA,NA,3.14E-05,NA,NA,NA,NA,NA,NA,NA,-0.04586207,-0.016499754,0.969300199,0.955173701,0.983635621,0.001796584,Prostate cancer,ieu-b-85,"POLI_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.396741923,1
"RP11-6L6.2_T cell, CD4, TH1",RP11-6L6.2,"T cell, CD4, TH1",Wald_ratio,1,0.028472096,0.007690212,NA,NA,0.000213586,NA,NA,NA,NA,NA,NA,NA,0.01339928,0.043544912,1.0288813,1.013489452,1.044506904,0.008727727,Prostate cancer,ieu-b-85,"RP11-6L6.2_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.698133673,0.991649506
"RP11-6L6.2_T cell, CD4, TFH",RP11-6L6.2,"T cell, CD4, TFH",Wald_ratio,1,0.02680819,0.007240797,NA,NA,0.000213586,NA,NA,NA,NA,NA,NA,NA,0.012616227,0.041000153,1.027170763,1.012696148,1.041852265,0.008727727,Prostate cancer,ieu-b-85,"RP11-6L6.2_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.670705595,0.991649506
"RP11-6L6.2_T cell, CD4, naive TREG",RP11-6L6.2,"T cell, CD4, naive TREG",Wald_ratio,1,0.026057807,0.007038122,NA,NA,0.000213586,NA,NA,NA,NA,NA,NA,NA,0.012263089,0.039852525,1.02640028,1.012338589,1.040657292,0.008727727,Prostate cancer,ieu-b-85,"RP11-6L6.2_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.828790582,0.991649506
"RP11-6L6.2_T cell, CD4, TH2",RP11-6L6.2,"T cell, CD4, TH2",Wald_ratio,1,0.029680741,0.008016663,NA,NA,0.000213586,NA,NA,NA,NA,NA,NA,NA,0.013968081,0.0453934,1.030125604,1.01406609,1.046439448,0.008727727,Prostate cancer,ieu-b-85,"RP11-6L6.2_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.71092549,0.991649506
"RP11-6L6.2_T cell, CD4, memory TREG",RP11-6L6.2,"T cell, CD4, memory TREG",Wald_ratio,1,0.026213588,0.00800706,NA,NA,0.001061081,NA,NA,NA,NA,NA,NA,NA,0.010519751,0.041907425,1.026560186,1.010575278,1.042797938,0.029541197,Prostate cancer,ieu-b-85,"RP11-6L6.2_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.568899457,1
"AC079922.3_T cell, CD4, TH1 TH17",AC079922.3,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.032324235,0.010192326,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.052301194,-0.012347275,0.96819261,0.949042978,0.98772864,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.006375887,1
"AC079922.3_T cell, CD8, naive",AC079922.3,"T cell, CD8, naive",Wald_ratio,1,-0.028517935,0.008992142,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.046142533,-0.010893337,0.971884863,0.954905847,0.98916578,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.774727509,1
"AC079922.3_T cell, CD4, TH2",AC079922.3,"T cell, CD4, TH2",Wald_ratio,1,-0.032763968,0.010330981,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.053012691,-0.012515246,0.967766956,0.948367977,0.987562744,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.006902451,1
AC079922.3_B_CELL_NAIVE,AC079922.3,B,Wald_ratio,1,-0.033360022,0.010518926,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.053977117,-0.012742927,0.967190287,0.947453787,0.98733792,0.038624078,Prostate cancer,ieu-b-85,AC079922.3_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.006975248,1
"AC079922.3_T cell, CD4, naive",AC079922.3,"T cell, CD4, naive",Wald_ratio,1,-0.029612719,0.009337344,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.047913913,-0.011311525,0.970821442,0.953215843,0.98875221,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.006376653,1
"AC079922.3_T cell, CD4, TH17",AC079922.3,"T cell, CD4, TH17",Wald_ratio,1,-0.032699467,0.010310643,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.052908327,-0.012490607,0.967829381,0.948466958,0.987587077,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.006913281,1
"AC079922.3_Monocyte, classical",AC079922.3,"Monocyte, classical",Wald_ratio,1,-0.031482406,0.009926885,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.0509391,-0.012025712,0.969008005,0.950336545,0.988046308,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_Monocyte, classical_Prostate cancer_ieu-b-85",0.006885521,1
"AC079922.3_NK cell, CD56dim CD16+",AC079922.3,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.032001904,0.010090691,NA,NA,0.001516912,NA,NA,NA,NA,NA,NA,NA,-0.051779658,-0.012224151,0.968504738,0.949538067,0.987850261,0.038624078,Prostate cancer,ieu-b-85,"AC079922.3_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.005592836,1
"PLEKHH2_T cell, CD4, TH2",PLEKHH2,"T cell, CD4, TH2",Wald_ratio,1,0.033412612,0.007739645,NA,NA,1.58E-05,NA,NA,NA,NA,NA,NA,NA,0.018242909,0.048582316,1.033977083,1.018410327,1.049781782,0.000985023,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.790067986,0.987368145
"PLEKHH2_T cell, CD8, naive",PLEKHH2,"T cell, CD8, naive",Wald_ratio,1,0.031785308,0.007362698,NA,NA,1.58E-05,NA,NA,NA,NA,NA,NA,NA,0.017354419,0.046216197,1.032295856,1.017505882,1.04730081,0.000985023,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.002507397,0.987368145
"PLEKHH2_T cell, CD4, TH17",PLEKHH2,"T cell, CD4, TH17",Wald_ratio,1,0.038520988,0.007648235,NA,NA,4.74E-07,NA,NA,NA,NA,NA,NA,NA,0.023530448,0.053511529,1.039272541,1.023809473,1.054969155,6.38E-05,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.934563305,0.96790376
"RETSAT_Monocyte, non-classical",RETSAT,"Monocyte, non-classical",Wald_ratio,1,0.035602735,0.009654979,NA,NA,0.000226468,NA,NA,NA,NA,NA,NA,NA,0.016678976,0.054526494,1.036244101,1.016818847,1.056040455,0.00913141,Prostate cancer,ieu-b-85,"RETSAT_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.73477224,1
"L3MBTL3_NK cell, CD56dim CD16+",L3MBTL3,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.030398012,0.007995094,NA,NA,0.000143484,NA,NA,NA,NA,NA,NA,NA,-0.046068395,-0.014727629,0.970059361,0.954976644,0.985380292,0.00624959,Prostate cancer,ieu-b-85,"L3MBTL3_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.839826633,0.674587897
"L3MBTL3_T cell, CD4, TH2",L3MBTL3,"T cell, CD4, TH2",Wald_ratio,1,-0.025232357,0.006636456,NA,NA,0.000143484,NA,NA,NA,NA,NA,NA,NA,-0.03823981,-0.012224904,0.975083318,0.962482101,0.987849516,0.00624959,Prostate cancer,ieu-b-85,"L3MBTL3_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.808958479,0.674587897
"L3MBTL3_T cell, CD4, naive",L3MBTL3,"T cell, CD4, naive",Wald_ratio,1,-0.02465189,0.006483785,NA,NA,0.000143484,NA,NA,NA,NA,NA,NA,NA,-0.037360108,-0.011943672,0.975649487,0.963329171,0.988127371,0.00624959,Prostate cancer,ieu-b-85,"L3MBTL3_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.821359568,0.674587897
"L3MBTL3_Monocyte, classical",L3MBTL3,"Monocyte, classical",Wald_ratio,1,-0.027110903,0.007130539,NA,NA,0.000143484,NA,NA,NA,NA,NA,NA,NA,-0.041086759,-0.013135047,0.973253299,0.95974586,0.986950841,0.00624959,Prostate cancer,ieu-b-85,"L3MBTL3_Monocyte, classical_Prostate cancer_ieu-b-85",0.803456515,0.674587897
"GSTP1_Monocyte, non-classical",GSTP1,"Monocyte, non-classical",Wald_ratio,1,-0.030002337,0.008438157,NA,NA,0.000377181,NA,NA,NA,NA,NA,NA,NA,-0.046541125,-0.013463549,0.970443266,0.954525305,0.986626679,0.01291336,Prostate cancer,ieu-b-85,"GSTP1_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.002699886,1
RAD51C_B_CELL_NAIVE,RAD51C,B,Wald_ratio,1,-0.031212528,0.008116931,NA,NA,0.000120375,NA,NA,NA,NA,NA,NA,NA,-0.047121713,-0.015303344,0.969269554,0.95397128,0.984813158,0.005511515,Prostate cancer,ieu-b-85,RAD51C_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.749833123,0.976383111
"RP11-534L20.5_T cell, CD4, naive",RP11-534L20.5,"T cell, CD4, naive",Wald_ratio,1,-0.023549831,0.0070298,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.03732824,-0.009771422,0.976725302,0.96335987,0.990276163,0.023852748,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.455437349,1
"RP11-534L20.5_T cell, CD4, memory TREG",RP11-534L20.5,"T cell, CD4, memory TREG",Wald_ratio,1,-0.02401296,0.007168048,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.038062334,-0.009963586,0.976273057,0.962652933,0.990085886,0.023852748,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.455409117,1
"RP11-534L20.5_T cell, CD4, TFH",RP11-534L20.5,"T cell, CD4, TFH",Wald_ratio,1,-0.023500171,0.007014976,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.037249525,-0.009750817,0.976773808,0.963435704,0.990296568,0.023852748,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.659922914,1
"RP11-534L20.5_T cell, CD4, TH1 TH17",RP11-534L20.5,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.024132816,0.007203826,NA,NA,0.000808116,NA,NA,NA,NA,NA,NA,NA,-0.038252315,-0.010013318,0.976156052,0.962470065,0.990036649,0.023852748,Prostate cancer,ieu-b-85,"RP11-534L20.5_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.527278666,1
"PLEKHH2_T cell, CD4, TFH",PLEKHH2,"T cell, CD4, TFH",Wald_ratio,1,0.029873559,0.007019002,NA,NA,2.08E-05,NA,NA,NA,NA,NA,NA,NA,0.016116314,0.043630804,1.030324251,1.016246883,1.044596623,0.001230429,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.001992963,0.983107944
"PLEKHH2_T cell, CD4, TH1 TH17",PLEKHH2,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.033773708,0.00793537,NA,NA,2.08E-05,NA,NA,NA,NA,NA,NA,NA,0.018220383,0.049327033,1.034350515,1.018387387,1.050563864,0.001230429,Prostate cancer,ieu-b-85,"PLEKHH2_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",3.90E-06,0.983107944
"GGCX_T cell, CD4, TH1",GGCX,"T cell, CD4, TH1",Wald_ratio,1,-0.06875718,0.006806789,NA,NA,5.45E-24,NA,NA,NA,NA,NA,NA,NA,-0.082098486,-0.055415875,0.933553338,0.921181231,0.946091611,9.21E-21,Prostate cancer,ieu-b-85,"GGCX_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.975505266,1
"MPHOSPH6_Monocyte, non-classical",MPHOSPH6,"Monocyte, non-classical",Wald_ratio,1,0.043703471,0.009514392,NA,NA,4.36E-06,NA,NA,NA,NA,NA,NA,NA,0.025055262,0.062351679,1.044672533,1.025371784,1.064336584,0.000334781,Prostate cancer,ieu-b-85,"MPHOSPH6_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.470869849,0.984435043
AMT_B_CELL_NAIVE,AMT,B,Wald_ratio,1,-0.034939697,0.00993493,NA,NA,0.000436694,NA,NA,NA,NA,NA,NA,NA,-0.054412159,-0.015467235,0.965663647,0.947041694,0.984651769,0.014337334,Prostate cancer,ieu-b-85,AMT_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.020987479,0.994956376
"RGS17_NK cell, CD56dim CD16+",RGS17,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.030951836,0.007369485,NA,NA,2.67E-05,NA,NA,NA,NA,NA,NA,NA,-0.045396026,-0.016507646,0.969522268,0.955618957,0.983627859,0.001572626,Prostate cancer,ieu-b-85,"RGS17_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.00433267,0.996031944
"UHRF1BP1_T cell, CD4, memory TREG",UHRF1BP1,"T cell, CD4, memory TREG",Wald_ratio,1,0.042646632,0.007573609,NA,NA,1.79E-08,NA,NA,NA,NA,NA,NA,NA,0.027802358,0.057490906,1.043569066,1.028192451,1.059175638,4.39E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.601286829,0.991245246
"UHRF1BP1_T cell, CD4, TFH",UHRF1BP1,"T cell, CD4, TFH",Wald_ratio,1,0.041616904,0.00739074,NA,NA,1.79E-08,NA,NA,NA,NA,NA,NA,NA,0.027131054,0.056102755,1.042495027,1.027502452,1.057706362,4.39E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.71596391,0.991245246
"UHRF1BP1_T cell, CD4, naive TREG",UHRF1BP1,"T cell, CD4, naive TREG",Wald_ratio,1,0.045686136,0.008113394,NA,NA,1.79E-08,NA,NA,NA,NA,NA,NA,NA,0.029783884,0.061588389,1.046745824,1.03023186,1.063524496,4.39E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.688950884,0.991245246
"RP4-607J23.2_NK cell, CD56dim CD16+",RP4-607J23.2,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.056862013,0.009477002,NA,NA,1.97E-09,NA,NA,NA,NA,NA,NA,NA,-0.075436937,-0.038287089,0.94472442,0.927338209,0.962436596,8.57E-07,Prostate cancer,ieu-b-85,"RP4-607J23.2_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.005750105,1
"RP4-607J23.2_Monocyte, non-classical",RP4-607J23.2,"Monocyte, non-classical",Wald_ratio,1,-0.049937224,0.008322871,NA,NA,1.97E-09,NA,NA,NA,NA,NA,NA,NA,-0.06625005,-0.033624397,0.951289141,0.935896814,0.96693462,8.57E-07,Prostate cancer,ieu-b-85,"RP4-607J23.2_Monocyte, non-classical_Prostate cancer_ieu-b-85",1.23E-13,1
"RP4-607J23.2_Monocyte, classical",RP4-607J23.2,"Monocyte, classical",Wald_ratio,1,-0.050369165,0.008394861,NA,NA,1.97E-09,NA,NA,NA,NA,NA,NA,NA,-0.066823093,-0.033915238,0.950878328,0.935360659,0.966653437,8.57E-07,Prostate cancer,ieu-b-85,"RP4-607J23.2_Monocyte, classical_Prostate cancer_ieu-b-85",2.06E-12,1
"RP4-607J23.2_T cell, CD8, naive activated",RP4-607J23.2,"T cell, CD8, naive activated",Wald_ratio,1,-0.082976574,0.010723951,NA,NA,1.01E-14,NA,NA,NA,NA,NA,NA,NA,-0.103995519,-0.061957629,0.920372707,0.901229336,0.939922711,8.11E-12,Prostate cancer,ieu-b-85,"RP4-607J23.2_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.01689447,1
"TOR1B_T cell, CD4, naive activated",TOR1B,"T cell, CD4, naive activated",Wald_ratio,1,0.046305616,0.00849393,NA,NA,4.99E-08,NA,NA,NA,NA,NA,NA,NA,0.029657514,0.062953718,1.047394463,1.030101678,1.064977549,1.07E-05,Prostate cancer,ieu-b-85,"TOR1B_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.730074297,1
"LY6G5C_T cell, CD4, naive activated",LY6G5C,"T cell, CD4, naive activated",Wald_ratio,1,0.031489292,0.008076504,NA,NA,9.66E-05,NA,NA,NA,NA,NA,NA,NA,0.015659344,0.047319241,1.031990325,1.015782594,1.048456666,0.004723556,Prostate cancer,ieu-b-85,"LY6G5C_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",5.44E-08,1
"PPFIBP2_T cell, CD8, naive",PPFIBP2,"T cell, CD8, naive",Wald_ratio,1,-0.024445499,0.006785874,NA,NA,0.000315281,NA,NA,NA,NA,NA,NA,NA,-0.037745813,-0.011145185,0.975850872,0.962957681,0.988916692,0.011119691,Prostate cancer,ieu-b-85,"PPFIBP2_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.151419258,1
"PPFIBP2_T cell, CD8, naive activated",PPFIBP2,"T cell, CD8, naive activated",Wald_ratio,1,-0.025875455,0.007182819,NA,NA,0.000315281,NA,NA,NA,NA,NA,NA,NA,-0.03995378,-0.011797131,0.974456445,0.960833848,0.988272183,0.011119691,Prostate cancer,ieu-b-85,"PPFIBP2_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.12376217,1
"PPFIBP2_T cell, CD4, TH17",PPFIBP2,"T cell, CD4, TH17",Wald_ratio,1,-0.026338115,0.007311249,NA,NA,0.000315281,NA,NA,NA,NA,NA,NA,NA,-0.040668163,-0.012008066,0.974005708,0.96014769,0.988063743,0.011119691,Prostate cancer,ieu-b-85,"PPFIBP2_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.728807116,1
